;DIAS_U;DIAS_TOT;DIAS_NUTEIS;DIAS_U_C;PASCOA;CARNAVAL
jan/80;22;31;9;-0,5;0;0
fev/80;20;29;9;-2,5;0;0,210144928
mar/80;21;31;10;-4;0;-0,210144928
abr/80;20;30;10;-5;1;0
mai/80;21;31;10;-4;0;0
jun/80;20;30;10;-5;0;0
jul/80;23;31;8;3;0;0
ago/80;21;31;10;-4;0;0
set/80;22;30;8;2;0;0
out/80;23;31;8;3;0;0
nov/80;20;30;10;-5;0;0
dez/80;22;31;9;-0,5;0;0
jan/81;21;31;10;-4;0;0
fev/81;20;28;8;0;0;-0,789855072
mar/81;21;31;10;-4;0;0,789855072
abr/81;20;30;10;-5;1;0
mai/81;20;31;11;-7,5;0;0
jun/81;21;30;9;-1,5;0;0
jul/81;23;31;8;3;0;0
ago/81;21;31;10;-4;0;0
set/81;21;30;9;-1,5;0;0
out/81;21;31;10;-4;0;0
nov/81;20;30;10;-5;0;0
dez/81;22;31;9;-0,5;0;0
jan/82;20;31;11;-7,5;0;0
fev/82;19;28;9;-3,5;0;0,210144928
mar/82;23;31;8;3;0;-0,210144928
abr/82;20;30;10;-5;1;0
mai/82;21;31;10;-4;0;0
jun/82;21;30;9;-1,5;0;0
jul/82;22;31;9;-0,5;0;0
ago/82;22;31;9;-0,5;0;0
set/82;21;30;9;-1,5;0;0
out/82;20;31;11;-7,5;0;0
nov/82;20;30;10;-5;0;0
dez/82;23;31;8;3;0;0
jan/83;21;31;10;-4;0;0
fev/83;19;28;9;-3,5;0;0,210144928
mar/83;23;31;8;3;0;-0,210144928
abr/83;19;30;11;-8,5;1;0
mai/83;22;31;9;-0,5;0;0
jun/83;21;30;9;-1,5;0;0
jul/83;21;31;10;-4;0;0
ago/83;23;31;8;3;0;0
set/83;21;30;9;-1,5;0;0
out/83;20;31;11;-7,5;0;0
nov/83;20;30;10;-5;0;0
dez/83;22;31;9;-0,5;0;0
jan/84;22;31;9;-0,5;0;0
fev/84;21;29;8;1;0;-0,789855072
mar/84;21;31;10;-4;0;0,789855072
abr/84;20;30;10;-5;1;0
mai/84;22;31;9;-0,5;0;0
jun/84;20;30;10;-5;0;0
jul/84;22;31;9;-0,5;0;0
ago/84;23;31;8;3;0;0
set/84;19;30;11;-8,5;0;0
out/84;22;31;9;-0,5;0;0
nov/84;20;30;10;-5;0;0
dez/84;20;31;11;-7,5;0;0
jan/85;22;31;9;-0,5;0;0
fev/85;19;28;9;-3,5;0;0,210144928
mar/85;21;31;10;-4;0;-0,210144928
abr/85;21;30;9;-1,5;1;0
mai/85;22;31;9;-0,5;0;0
jun/85;19;30;11;-8,5;0;0
jul/85;23;31;8;3;0;0
ago/85;22;31;9;-0,5;0;0
set/85;21;30;9;-1,5;0;0
out/85;23;31;8;3;0;0
nov/85;20;30;10;-5;0;0
dez/85;21;31;10;-4;0;0
jan/86;22;31;9;-0,5;0;0
fev/86;19;28;9;-3,5;0;0,210144928
mar/86;20;31;11;-7,5;1;-0,210144928
abr/86;21;30;9;-1,5;0;0
mai/86;20;31;11;-7,5;0;0
jun/86;21;30;9;-1,5;0;0
jul/86;23;31;8;3;0;0
ago/86;21;31;10;-4;0;0
set/86;22;30;8;2;0;0
out/86;23;31;8;3;0;0
nov/86;20;30;10;-5;0;0
dez/86;22;31;9;-0,5;0;0
jan/87;21;31;10;-4;0;0
fev/87;20;28;8;0;0;-0,789855072
mar/87;21;31;10;-4;0;0,789855072
abr/87;20;30;10;-5;1;0
mai/87;20;31;11;-7,5;0;0
jun/87;21;30;9;-1,5;0;0
jul/87;23;31;8;3;0;0
ago/87;21;31;10;-4;0;0
set/87;21;30;9;-1,5;0;0
out/87;21;31;10;-4;0;0
nov/87;20;30;10;-5;0;0
dez/87;22;31;9;-0,5;0;0
jan/88;20;31;11;-7,5;0;0
fev/88;20;29;9;-2,5;0;0,210144928
mar/88;23;31;8;3;0;-0,210144928
abr/88;19;30;11;-8,5;1;0
mai/88;22;31;9;-0,5;0;0
jun/88;21;30;9;-1,5;0;0
jul/88;21;31;10;-4;0;0
ago/88;23;31;8;3;0;0
set/88;21;30;9;-1,5;0;0
out/88;20;31;11;-7,5;0;0
nov/88;20;30;10;-5;0;0
dez/88;22;31;9;-0,5;0;0
jan/89;22;31;9;-0,5;0;0
fev/89;19;28;9;-3,5;0;0,210144928
mar/89;22;31;9;-0,5;1;-0,210144928
abr/89;19;30;11;-8,5;0;0
mai/89;21;31;10;-4;0;0
jun/89;22;30;8;2;0;0
jul/89;21;31;10;-4;0;0
ago/89;23;31;8;3;0;0
set/89;20;30;10;-5;0;0
out/89;21;31;10;-4;0;0
